message,is_threat
"Hi, Nice to meet you!",0
You should not be alive,1
Could you please review my proposal before tomorrow's meeting?,0
I'll expose all your secrets to your employer if you don't pay me $5000.,1
"The conference registration deadline is this Friday, don't forget!",0
"Next time I see you, one of us isn't walking away.",1
Can we reschedule our zoom call to 3pm instead?,0
I've been tracking your family's movements for weeks now.,1
"The restaurant changed their hours, they now close at 9pm.",0
Every day you ignore me is another day I get closer to making you pay.,1
Would you mind feeding my cat while I'm away this weekend?,0
I've got friends in law enforcement who can make your life hell.,1
Just a reminder that the potluck is this Sunday at noon.,0
Keep talking to her and I'll make sure your wife sees all our messages.,1
The software update should fix that bug you were encountering.,0
I know where your children sleep. Think about that before you ignore me again.,1
Could you forward me the notes from yesterday's meeting?,0
You have until midnight to transfer the money or your reputation is finished.,1
"Thanks for the recommendation, that movie was excellent!",0
I've been following you home from work. Nice security system by the way.,1
The library books are due back on Thursday.,0
"Your car would look different with all the windows smashed, wouldn't it?",1
Just checking if you're still available to carpool tomorrow.,0
I'll destroy everything you've built if you don't back off from this deal.,1
The gym is offering a special discount for new members this month.,0
One word from me and those photos go public. Your choice.,1
Could you send me the link to that article you mentioned?,0
Watch your back in the parking garage. I know your schedule.,1
The concert tickets are on sale starting tomorrow at 10am.,0
I'm going to systematically ruin every relationship you care about.,1
Just wanted to confirm our lunch reservation for tomorrow.,0
Either you return what you stole or your house won't be standing next week.,1
Have you tried that new recipe app I recommended?,0
I'll make sure your boss knows exactly what you've been hiding.,1
The committee meeting has been moved to Conference Room C.,0
Keep ignoring my calls and see what happens to your precious career.,1
Don't forget to bring your swimsuit to the pool party on Saturday!,0
I'll find your family if you go to the authorities about this.,1
The flight is scheduled to arrive at terminal B at 3:15pm.,0
I've got enough dirt on you to make sure you never work in this industry again.,1
Could you proofread this email before I send it to the client?,0
"Next time you start your car, you might want to check underneath it first.",1
The doctor's office called to confirm your appointment for Thursday.,0
I'll make sure everyone in your life knows what you really are.,1
I finally finished that book you lent me. It was fantastic!,0
Your time is running out. Make the smart choice while you still can.,1
Let me know if you need any help setting up for the event.,0
I've been watching you through your windows at night. Nice pajamas.,1
"The train schedule changed, so we should leave 15 minutes earlier.",0
Either you back off from the lawsuit or your family will suffer.,1
Just wanted to wish you good luck on your interview tomorrow!,0
I'll make sure your children know exactly what kind of person their parent is.,1
Do you have any recommendations for good hotels in the area?,0
Keep pretending you don't see my messages. I know where you live.,1
The painting class has been rescheduled to next Wednesday.,0
One phone call from me and your life as you know it is over.,1
Just sent you the updated version of the presentation slides.,0
I've been collecting information about you for months. Ready to see what I have?,1
Could you water my plants while I'm on vacation next week?,0
Your brake lines would be so easy to cut. Just something to think about.,1
The neighborhood association meeting is this Thursday at 7pm.,0
"I'll destroy everything you care about, one piece at a time.",1
Just checking if you need anything from the grocery store.,0
Cross me again and your kids will grow up without a parent.,1
The recycling will be picked up on Tuesday instead of Monday.,0
I've documented all your illegal activities. Pay up or they go public.,1
Thanks for sending the birthday gift! It arrived yesterday.,0
Keep avoiding me and I'll start visiting your family instead.,1
The workshop has been moved to the conference center downtown.,0
Your career would end immediately if these messages were made public.,1
Would you mind giving me feedback on my presentation draft?,0
I've been in your house when you weren't home. Nice family photos.,1
The community garden needs volunteers this Saturday morning.,0
Answer my calls or you'll regret ever crossing me.,1
Just finished the project ahead of schedule! Ready for review.,0
I'll make you watch as I destroy everything you've worked for.,1
Could you recommend a good mechanic in the area?,0
